ID,Chemical Name,Fomula,Monoisotopic_mass,cas,emz1,emz2,emz3,emz4,emz5,emz6,emz7,emz8
CP2035,Dieldrin , C12H8Cl6O,377.8706,60-57-1,78.8403,81.9872,263.1949,80.9559,,,,
CP2036,Endosulfan I ,C9H6Cl6O3S,403.8169,959-98-8,330.8775,239.8741,238.8661,240.8637,,,,
CP2037,Endosulfan II ,C9H6Cl6O3S,403.8169,33213-65-9,239.8741,238.8661,330.8775,240.8637,,,,
CP2038,Endosulfan ether , C9H6Cl6O,339.8550,3369-52-6,236.8409,339.8547,240.8956,238.8985,,,,
CP2039,Endosulfan sulfate ,C9H6Cl6O4S,419.8118,1031-07-8,384.8899,382.8929,380.8959,271.9263,,,,
CP2040,Endrin ,C12H8Cl6O,377.8706,72-20-8,80.9559,280.9849,263.1963,78.9402,81.9873,,,
CP2041,Endrin aldehyde ,C12H8Cl6O,377.8706,7421-93-4,344.9236,173.0025,249.9921,247.0478,,,,
CP2042,Endrin ketone , C12H8Cl6O,377.8706,53494-70-5,377.8691,376.8658,260.8544,78.9944,262.8517,378.8628,,
CP2044,Fenson ,C12H9ClO3S,267.9961,80-38-6,267.9984,268.9959,269.9775,270.9753,,,,
CP2045,Heptachlor ,C10H5Cl7,369.8211,76-44-8,269.8724,98.9466,271.8698,270.8758,369.8175,,,
CP2046,Heptachlor epoxide (isomer B) ,C10H5Cl7O,385.8160,1024-57-3,80.9737,352.8377,236.5509,108.984,151.0866,,,
CP2047,Hexachlorobenzene ,C6Cl6,281.8131,118-74-1,281.8125,283.8099,285.807,287.8041,,,,
CP2048,Isodrin ,C10H15NO,361.8760,465-73-6,376.8981,374.9005,378.895,361.8747,,,,
CP2050,"4,4'-Methoxychlor olefin ",C16H14Cl2O2,308.0371,2132-70-9,308.0365,238.0991,310.0339,311.0371,,,,
CP2051,Mirex ,C10Cl12,539.6262,2385-85-5,271.81,269.8129,273.807,275.804,,,,
CP2052,cis-Nonachlor ,C10H5Cl9,439.7588,5103-73-1,439.7579,408.7842,406.7873,410.7812,,,,
CP2053,trans-Nonachlor ,C10H5Cl9,439.7588,39765-80-5,439.758,408.7842,406.7873,410.7812,,,,
CP2054,Pentachloroanisole ,C7H3Cl5O,277.8626,1825-21-4,279.8591,281.8559,283.853,277.8621,,,,
CP2055,Pentachlorothioanisole ,C7H3Cl5S,293.8398,1825-19-0,293.8397,295.8367,297.8337,246.8438,238.8378,,,
CP2056,Tetradifon ,C12H6Cl4O2S,353.8842,116-29-0,158.9665,110.9997,228.8858,226.8888,353.8838,,,
CP2057,Chlorothalonil,C8Cl4N2,263.8816,1897-45-6,263.8812,265.878,266.8816,264.8847,,,,
CP2058,Dichlofluanid ,C9H11Cl2FN2O2S2,331.9623,1085-98-9,123.0139,167.0638,223.9498,225.9468,331.9617,,,
CP2059,Dichloran ,C6H4Cl2N2O2,205.9650,99-30-9,205.9644,175.9664,177.9634,207.9614,,,,
CP2060,"3,4-Dichloroaniline ",C6H5Cl2N,160.9799,95-76-1,160.9795,162.9765,107.9762,108.984,98.9997,,,
CP2061,Dichlobenil, C6H3Cl2(CN),170.9643,1194-65-6,170.9637,172.9607,100.0181,164.0009,75.0105,,,
CP2062,Diphenylamine ,C6H5NHC6H5,169.0891,122-39-4,169.0886,168.0808,167.0733,115.0543,141.0573,,,
CP2063,Ethalfluralin ,C13H14F3N3O4,333.0936,55283-68-6,276.059,316.09,277.0624,333.0927,,,,
CP2064,Fluchloralin ,C12H13ClF3N3O4,355.0547,33245-39-5,306.0697,307.073,326.0151,327.0182,,,,
CP2065,Isopropalin ,C15H23N3O4,309.1689,33820-53-0,238.0828,280.13,264.135,309.1682,,,,
CP2066,Nitralin ,C13H19N3O6S,345.0995,4726-14-1,274.0134,316.0602,258.0184,178.0945,345.0992,,,
CP2067,"2,4-Dichlorophenyl-4'-nitrophenyl ether",C12H7Cl2NO3,282.9803,1836-75-5,282.9799,202.0179,284.9771,204.015,162.0231,283.9831,284.9769,
CP2068,Oxyfluorfen ,C15H11ClF3NO4,361.0329,42874-03-3,361.0315,252.0395,300.0038,317.0064,,,,
CP2069,Pendimethalin ,C13H19N3O4,281.1375,40487-42-1,252.098,162.0784,191.0686,281.1372,,,,
CP2070,Pentachloroaniline ,C6H2Cl5N,262.8630,527-20-8,262.8633,264.8605,266.8575,268.8546,,,,
CP2071,Pentachlorobenzonitrile ,C7Cl5N,272.8474,20925-85-3,272.8469,274.8444,276.8412,278.8383,,,,
CP2072,Prodiamine ,C13H17F3N4O4,350.1202,29091-21-2,321.0808,349.1047,141.1634,148.0519,350.1173,,,
CP2073,Profluralin ,C14H16F3N3O4,347.1093,26399-36-0,347.1085,318.0696,330.1061,264.0227,,,,
CP2074,"2,3,5,6-Tetrachloroaniline ",C6H3Cl4N,228.9020,3481-20-7,228.9014,230.8985,232.8955,234.8925,,,,
CP2074_2,"2,3,5,6-Tetrachloroaniline ",C6H3Cl4N,228.9020,3481-20-7,228.9014,230.8985,232.8955,234.8925,,,,
CP2076,Tolylfluanid ,C10H13Cl2FN2O2S2,345.9780,731-27-1,345.9761,137.0598,238.9675,138.0631,344.9764,346.973,,
CP2077,Trifluralin ,C13H16F3N3O4,335.1093,1582-09-8,264.0223,306.0693,248.0274,335.1082,,,,
CP2078,Acetochlor ,C14H20ClNO2,269.1183,34256-82-1,269.1177,146.0962,132.0806,174.0911,,,,
CP2079,Alachlor ,C14H20ClNO2,269.1183,15972-60-8,269.1182,160.1118,188.1068,146.0962,,,,
CP2080,Allidochlor ,C8H12ClNO,173.0607,93-71-0,173.0597,138.0915,174.0674,132.057,171.0441,,,
CP2081,Clomazone (Command) ,C12H14ClNO2,239.0713,81777-89-1,239.0727,125,127.0155,176.0832,89.0597,240.0803,,
CP2082,Cycloate ,C11H21NOS,215.1344,1134-23-2,154.1228,186.095,155.126,83.1043,215.1338,,,
CP2083,Diallate-cis,C10H17Cl2NOS,269.0408,2303-16-4,86.0363,70.0414,129.0911,84.0889,,,,
CP2084,Diallate-trans,C10H17Cl2NOS,269.0408,2303-16-4,86.0363,70.0414,129.0911,84.0889,,,,
CP2085,Dimethachlor ,C13H18ClNO2,255.1026,50563-36-5,134.0965,197.0601,132.0808,210.0682,255.104,,,
CP2086,Diphenamid ,C16H17NO,239.1310,957-51-7,239.1306,167.0853,165.0697,72.0444,152.0619,,,
CP2087,Fenpropathrin ,C22H23NO3,349.1678,39515-41-8,181.0646,265.0737,180.0807,349.1672,,,,
CP2088,Fluquinconazole ,C16H8Cl2FN5O,375.0090,136426-54-5,375.0118,377.0086,376.0149,378.0124,,,,
CP2089,Flutolanil ,C17H16F3NO2,323.1133,66332-96-5,323.1129,173.0209,281.0664,145.0259,,,,
CP2090,Linuron ,C9H10Cl2N2O2,248.0119,330-55-2,248.0113,250.0082,159.9716,161.9685,187.0135,,,
CP2091,Metazachlor ,C14H16ClN3O,277.0982,67129-08-2,277.0968,276.0934,274.0779,275.0858,,,,
CP2091_2,Metazachlor ,C14H16ClN3O,277.0982,67129-08-2,277.0968,276.0934,274.0779,275.0858,,,,
CP2092,"4,4'-Methoxychlor ",C16H15Cl3O2,344.0138,72-43-5,344.014,341.0177,343.0142,342.0173,,,,
CP2093,Metolachlor ,C15H22ClNO2,283.1339,51218-45-2,162.0914,238.1348,146.0964,163.0946,,,,
CP2094,"N-(2,4-Dimethylphenyl)formamide ",C9H11NO,149.0841,60397-77-5,149.0836,120.0806,121.0883,106.0649,,,,
CP2095,Norflurazon ,C12H9ClF3N3O,303.0386,27314-13-2,303.0379,302.0304,145.026,173.0322,,,,
CP2096,Oxadiazon ,C15H18Cl2N2O3,344.0695,19666-30-9,344.0688,174.9588,176.9558,258.032,,,,
CP2097,Pebulate ,C10H21NOS,203.1344,1114-71-2,203.1339,128.107,132.0843,129.1103,,,,
CP2098,Pretilachlor,C17H26ClNO2,311.1652,51218-49-6,176.107,202.1226,238.0996,239.1026,311.1642,,,
CP2099,Prochloraz ,C15H16Cl3N3O2,375.0308,67747-09-5,375.033,108.0445,376.0337,377.0302,95.0492,180.0185,,
CP2100,Propachlor ,C11H14ClNO,211.0764,1918-16-7,211.0759,162.1275,238.0996,163.1307,,,,
CP2101,Propanil ,C9H9Cl2NO,217.0061,709-98-8,160.9794,162.9765,161.9827,219.0025,217.0054,,,
CP2102,Propisochlor ,C15H22ClNO2,283.1339,86763-47-5,162.1026,159.0805,160.0838,161.0876,,,,
CP2103,Pyridaben ,C19H25ClN2OS,364.1376,96489-71-3,364.1371,366.1339,365.0147,148.1504,,,,
CP2104,Tebufenpyrad ,C18H24ClN3O,333.1608,119168-77-3,333.1602,331.2663,332.2695,315.198,313.2558,,,
CP2105,Triallate ,C10H16Cl3NOS,303.0018,2303-17-5,303.0026,300.0028,304.0154,96.0442,,,,
CP2106,Atrazine ,C8H14ClN5,215.0938,1912-24-9,215.0932,200.0695,202.0666,173.046,,,,
CP2108,Captafol ,C10H9Cl4NO2S,346.9108,2425-06-1,78.9404,312.9505,182.9182,79.9482,348.9703,,,
CP2109,Captan ,C9H8Cl3NO2S,298.9341,133-06-2,78.9404,118.9031,116.906,80.9375,298.9344,,,
CP2110,Chlorfenapyr ,C15H11BrClF3N2O,405.9695,122453-73-0,247.0479,137.0028,327.9212,405.9692,407.9671,,,
CP2111,Cyprodinil ,C14H15N3,225.1266,121552-61-2,225.1266,224.1183,209.095,226.1298,,,,
CP2112,Etofenprox ,C25H28O3,376.2039,80844-07-1,163.1116,135.0803,107.049,376.2034,,,,
CP2113,Etridiazole ,C5H5Cl3N2OS,245.9188,2593-15-9,245.9183,182.9175,210.9488,184.9145,,,,
CP2114,Fenarimol ,C17H12Cl2N2O,330.0327,60168-88-9,138.9944,107.0239,140.9914,330.0321,,,,
CP2115,Fipronil ,C12H4Cl2F6N4OS,435.9387,120068-37-3,366.943,368.94,367.9465,369.9439,,,,
CP2116,Fludioxonil ,C12H6F2N2O2,248.0397,131341-86-1,248.0389,127.0416,182.0475,249.0427,,,,
CP2117,Fluridone,C19H14F3NO,329.1028,59756-60-4,328.0963,329.0987,330.1055,331.1197,,,,
CP2118,Flusilazole ,C16H15F2N3Si,315.1003,85509-19-9,233.0593,251.07,206.0543,315.1003,,,,
CP2119,Flutriafol ,C16H13F2N3O,301.1027,76674-21-0,123.0042,165.0258,300.0959,302.1105,301.1033,,,
CP2120,Folpet ,C9H4Cl3NO2S,294.9028,133-07-3,294.9023,259.9335,261.9305,260.9366,262.9339,,,
CP2121,Iprodione ,C13H13Cl2N3O3,329.0334,36734-19-7,314.0097,186.9586,316.0065,188.9557,,,,
CP2122,Lenacil ,C13H18N2O2,234.1368,2164-08-1,153.1273,154.1307,110.1045,109.1012,136.1204,,,
CP2123,MGK-264 ,C17H25NO2,275.1885,113-48-4,275.1881,164.0704,121.0646,98.0235,,,,
CP2124,Myclobutanil ,C15H17ClN4,288.1142,88671-89-0,179.0245,150.0105,152.0386,,288.1139,,,
CP2125,Paclobutrazol ,C15H20ClN3O,293.1295,76738-62-0,236.1405,238.1544,239.1625,237.144,,,,
CP2126,Penconazole ,C13H15Cl2N3,283.0643,66246-88-6,151.0754,153.0516,152.083,161.0598,248.086,,,
CP2127,Procymidone ,C13H11Cl2NO2,283.0167,32809-16-8,283.0161,96.0338,285.0133,95.0446,,,,
CP2128,Propargite ,C19H26O4S,350.1552,2312-35-8,350.1543,201.0577,351.1578,335.131,,,,
CP2129,Pyrimethanil ,C12H13N3,199.1109,53112-28-0,199.1102,198.1027,197.0949,200.115,,,,
CP2130,Pyriproxyfen ,C20H19NO3,321.1365,95737-68-1,318.1366,333.1602,320.1336,321.1371,,,,
CP2131,Tebuconazole ,C16H22ClN3O,307.1451,107534-96-3,125.0153,250.0743,127.0124,252.0713,307.1447,,,
CP2132,Terbacil ,C9H13ClN2O2,216.0666,5902-51-2,216.0683,161.0597,117.0863,217.0341,,,,
CP2134,Tricyclazole (Beam) ,C9H7N3S,189.0361,41814-78-2,162.0231,161.0153,163.0264,189.0343,,,,
CP2135,Triflumizole ,C15H15ClF3N3O,345.0856,68694-11-1,205.9983,218.0484,178.9872,345.0854,,,,
CP2136,Vinclozolin ,C12H9Cl2NO3,284.9959,50471-44-8,284.9953,212.0027,178.0415,213.9997,,,,
CP2137,Acequinocyl ,C24H32O4,384.2301,57960-19-7,322.2395,321.2327,325.2569,384.2316,323.2469,,,
CP2138,Bromopropylate ,C17H16Br2O3,425.9466,18181-80-1,340.8994,182.9442,184.9421,338.9016,,,,
CP2139,Carfentrazone ethyl ,C15H14Cl2F3N3O3,411.0364,128639-02-1,411.0359,312.0595,310.0196,330.0258,,,,
CP2140,Chlorobenzilate,C16H14Cl2O3,324.0320,510-15-6,322.0281,323.0314,325.0273,324.0334,,,,
CP2141,Chlorpropham ,C10H12ClNO2,213.0556,101-21-3,213.055,127.018,171.0077,129.015,,,,
CP2142,Chlozolinate ,C13H11Cl2NO5,331.0014,84332-86-5,331.0009,258.98,185.9869,189.9583,,,,
CP2143,DCPA methyl ester (Chlorthal-dimethyl) ,C10H6Cl4O4,329.9020,1861-32-1,329.9016,300.8805,298.8835,302.8775,,,,
CP2144,Fluazifop-p-butyl ,C19H20F3NO4,383.1344,79241-46-6,383.1333,282.0746,254.0432,283.0778,,,,
CP2146,2-Phenylphenol , C6H5C6H4OH,170.0732,90-43-7,170.0726,169.0646,141.0697,115.0541,,,,
CP2147,Bromfenvinfos-methyl ,C10H10BrCl2O4P,373.8877,13104-21-7,376.8979,378.8953,377.9014,375.9031,,,,
CP2148,Bromfenvinphos ( E ),C12H14BrCl2O4P,401.9190,33399-00-7,266.8877,268.8855,270.8814,269.889,,,,
CP2149,Bromophos ethyl ,C10H12BrCl2O3PS,391.8805,4824-78-6,358.9087,96.9508,241.8714,242.8611,302.8461,,,
CP2150,Bromophos methyl ,C8H8BrCl2O3PS,363.8492,2104-96-3,330.8775,124.9821,329.883,328.8798,363.849,,,
CP2151,Carbophenothion ,C11H16ClO2PS3,341.9738,786-19-6,341.9733,156.9871,96.9506,295.9855,,,,
CP2152,Chlorfenvinphos ,C12H14Cl3O4P,357.9695,470-90-6,266.9662,267.9698,322.932,268.9632,,,,
CP2153,Chlorthiophos ,C11H15Cl2O3PS2,359.9577,21923-23-9,268.9264,324.9891,270.9231,359.9575,,,,
CP2154,Coumaphos ,C14H16ClO5PS,362.0145,56-72-4,362.0141,96.9508,109.0048,364.011,,,,
CP2155,Edifenphos ,C14H15O2PS2,310.0251,17109-49-8,310.0235,109.0105,108.0026,218.0217,,,,
CP2156,Ethion ,C9H22O4P2S4,383.9876,563-12-2,230.9736,96.9508,153.0133,383.9869,,,,
CP2157,Fenamiphos ,C13H22NO3PS,303.1058,22224-92-6,303.105,154.0445,217.0084,260.0509,,,,
CP2158,Fenchlorphos, C8H8Cl3O3PS,319.8997,299-84-3,284.9305,286.9274,285.934,124.9822,319.8995,,,
CP2159,Fenthion ,C10H15O3PS2,278.0200,55-38-9,278.0197,169.0137,245.0396,124.9822,,,,
CP2160,Iodofenphos ,C8H8Cl2IO3PS,411.8353,18181-70-9,376.8667,378.8654,125.0961,411.8351,,,,
CP2161,Leptophos ,C13H10BrCl2O2PS,409.8699,21609-90-5,171.0027,376.8986,374.9009,378.8953,76.9609,,,
CP2162,Malathion ,C10H19O6PS2,330.0361,121-75-5,93.01,124.9821,127.039,173.0808,,,,
CP2163,Methacrifos ,C7H13O5PS,240.0221,62610-77-9,240.0217,180.0004,207.9955,124.9818,93.0101,,,
CP2164,Profenofos ,C11H15BrClO3PS,371.9351,41198-08-7,338.964,268.8859,371.9343,336.9664,,,,
CP2165,Prothiofos ,C11H15Cl2O2PS2,343.9628,34643-46-4,112.928,266.9467,308.9934,154.9749,,,,
CP2166,Sulfotepp ,C8H20O5P2S2,322.0227,3689-24-5,322.0221,293.9906,145.925,96.9504,,,,
CP2167,Sulprofos ,C12H19O2PS3,322.0285,35400-43-2,322.0281,156.006,140.0289,112.9278,,,,
CP2168,Terbufos ,C9H21O2PS3,288.0441,13071-79-9,230.9735,96.9507,174.9106,,288.0438,,,
CP2169,Tetrachlorvinphos ,C10H9Cl4O4P,363.8993,22248-79-9,330.8775,328.8801,332.8745,331.8811,,,,
CP2170,Tolclofos-methyl ,C9H11Cl2O3PS,299.9544,57018-04-9,268.9257,270.9224,296.9568,297.9605,,,,
CP2170_2,Tolclofos-methyl ,C9H11Cl2O3PS,299.9544,57018-04-9,268.9257,270.9224,296.9568,297.9605,,,,
CP2171,Disulfoton,C8H19O2PS3,274.0285,298-04-4,125.0197,153.0259,188.0317,97.0322,274.0284,,,
CP2172,Fonofos ,C10H15OPS2,246.0302,944-22-9,246.0297,108.987,137.0182,110.0182,,,,
CP2173,Methyl parathion ,C8H10NO5PS,263.0017,298-00-0,263.0018,127.0154,124.982,109.0048,,,,
CP2174,Mevinphos ,C7H13O6P,224.0450,7786-34-7,223.0368,127.1482,109.0762,79.0543,92.0621,224.0447,,
CP2175,Parathion (ethyl parathion) ,C10H14NO5PS,291.0330,56-38-2,291.0325,109.0049,96.9508,123.0553,,,,
CP2176,Phorate ,C7H17O2PS3,260.0128,298-02-2,260.0141,277.0168,261.0175,262.0098,231.0115,,,
CP2177,Piperonyl butoxide ,C19H30O5,338.2093,51-03-6,176.0832,177.0866,149.0598,178.0942,338.2088,,,
CP2178,Triazophos ,C12H16N3O3PS,313.0650,24017-47-8,161.0597,312.0591,310.0189,162.0632,313.0626,,,
CP2179,Butyl benzyl phthalate, C19H20O4,312.1360,85-68-7,149.0234,91.0543,123.0441,150.031,312.1357,,,
CP2180,bis(2-Chloroethoxy)methane,C5H10Cl2O2,172.0060,111-91-1,172.0061,171.0028,95.0046,123.0263,125.0337,,,
CP2181,bis(2-Chloroethyl)ether,C4H8Cl2O,141.9952,111-44-4,141.9849,93.01,94.9174,143.9195,140.977,113.9536,,
CP2182,bis(2-Chloro-1-methylethyl)ether,C6H12Cl2O,170.0270,108-60-1,170.0287,169.0236,121.0341,171.0195,77.0342,,,
CP2183,4-Chlorophenyl phenyl ether,C12H9ClO,204.0342,7005-72-3,204.0335,206.0306,205.0368,203.0258,169.0647,,,
CP2184,Diethyl phthalate,C12H14O4,222.0890,84-66-2,222.0872,177.0659,150.0463,176.0944,122.012,,,
CP2185,Dimethyl phthalate, C10H10O4,194.0580,131-11-3,163.039,133.0285,164.0423,194.0572,,,,
CP2186,Di-n-butyl phthalate,C16H22O4,278.1518,84-74-2,149.0961,150.0995,151.0754,179.1066,,,,
CP2188,bis(2-Ethylhexyl)phthalate,C24H38O4 ,390.2770,117-81-7,149.1326,150.1354,167.1431,112.084,113.1324,,,
CP2189,N-Nitrosodi-n-propylamine,C6H14N2O,130.1106,621-64-7,128.107,128.1071,133.1011,132.0844,,,,
CP2190,N-Nitrosodiphenylamine,C12H10N2O,198.0790,86-30-6,168.059,167.0855,115.0324,169.0603,198.078,,,
CP2191,Azobenzene,C12H10N2,182.0840,103-33-3,182.084,105.0448,152.0623,153.0702,78.042,,,
CP2192,2-Chloronaphthalene,C10H7Cl,162.0240,91-58-7,162.023,164.02,155.0603,163.0262,,,,
CP2192_2,2-Chloronaphthalene,C10H7Cl,162.0240,91-58-7,162.0231,164.02,155.0603,163.0262,,,,
CP2192_3,2-Chloronaphthalene,C10H7Cl,162.0240,91-58-7,162.0231,164.02,155.0603,163.0262,,,,
CP2193,"1,2-Dichlorobenzene",C6H4Cl2,145.9690,95-50-1,145.9687,147.9655,148.9689,110.9996,112.9967,146.9579,132.9608,
CP2194,"1,3-Dichlorobenzene",C6H4Cl2,145.9690,541-73-1,145.9687,144.9609,146.9579,132.9608,144.9609,146.9579,132.9608,
CP2195,"1,4-Dichlorobenzene",C6H4Cl2,145.9690,106-46-7,145.9687,144.9609,146.9579,132.9608,,,,
CP2196,"2,4-Dinitrotoluene",C7H6N2O4,182.0328,121-14-2,182.0338,165.0388,167.0415,166.0212,164.0306,,,
CP2197,"2,6-Dinitrotoluene",C7H6N2O4,182.0328,606-20-2,166.0212,165.0388,167.0415,164.0306,182.0338,,,
CP2198,Hexachlorobutadiene,C4Cl6,257.8131,87-68-3,257.8127,224.8409,226.838,222.8438,,,,
CP2199,Hexachlorocyclopentadiene,C5Cl6,269.8131,77-47-4,269.8128,236.8407,238.8378,234.8437,,,,
CP2200,Isophorone,C9H14O,138.1045,78-59-1,138.1038,95.0855,129.0909,123.1168,83.0492,,,
CP2201,Nitrobenzene,C6H5NO2,123.0320,98-95-3,123.0315,93.0699,79.0543,77.0386,94.0733,,,
CP2202,"1,2,4-Trichlorobenzene",C6H3Cl3,179.9300,120-82-1,179.9295,180.9372,183.9233,172.9666,144.9608,108.984,,
CP2203,Benzoic acid,C6H5COOH,122.0368,65-85-0,122.0363,105.0335,121.0285,123.0396,,,,
CP2204,o-Cresol,CH3C6H4OH,108.0575,95-48-7,108.0571,109.0604,110.1046,107.0492,,,,
CP2205,p-Cresol,CH3C6H4OH,108.0575,106-44-5,108.0571,109.0604,110.1046,107.0492,,,,
CP2206,"2,3,4-TRICHLOROPHENOL",C6H2Cl3(OH),195.9250,25167-82-2,195.9246,197.9215,96.984,198.9247,199.9185,,,
CP2207,Aniline,C6H5NH2,93.0580,62-53-3,93.0574,94.0607,92.0496,95.0292,,,,
CP2208,Benzyl alcohol,C6H5CH2OH,108.0575,100-51-6,108.0571,79.0543,107.0492,77.0386,,,,
CP2209,4-Chloroaniline, ClC6H4NH2,127.0189,106-47-8,127.0184,129.0155,92.0495,100.0075,,,,
CP2210,Dibenzofuran,C12H8O,168.0575,132-64-9,168.057,139.0543,169.0602,84.0282,70.0308,,,
CP2211,2-Methylnaphthalene,C11H10,142.0783,91-57-6,142.0772,139.054,143.0808,141.0697,,,,
CP2213,3-Nitroaniline,C6H6N2O2,138.0429,99-09-2,108.0444,92.0257,80.0495,139.0543,138.0424,,,
CP2214,4-Nitroaniline,C6H6N2O2,138.0429,100-01-6,108.0444,92.0257,80.0495,139.0543,138.0424,,,
CP2216,"3,3'-Dichlorobenzidine",C12H10Cl2N2,252.0220,91-94-1,252.0215,254.0192,256.0163,253.0254,,,,
CP2217,Acenaphthene,C12H10,154.0783,83-32-9,154.0777,153.0699,152.0618,155.0807,,,,
CP2217_2,Acenaphthene,C12H10,154.0783,83-32-9,154.0777,153.0699,152.0618,155.0807,,,,
CP2218,Acenaphthylene,C12H8,152.0626,208-96-8,152.0616,150.0461,151.0539,153.065,75.0232,,,
CP2218_2,Acenaphthylene,C12H8,152.0626,208-96-8,152.0616,150.0461,151.0539,153.065,75.0232,,,
CP2219,Anthracene,(C6H4CH)2,178.0783,120-12-7,178.0778,177.0699,176.0621,88.0308,,,,
CP2222,Benzo(b)fluoranthene,C20H12,252.0939,205-99-2,252.0942,250.0786,253.0974,248.0629,,,,
CP2223,"Benzo(g,h,i)perylene",C22H12,276.0939,191-24-2,276.0938,277.0971,274.0784,272.0627,,,,
CP2224,Benzo(k)fluoranthene,C20H12,252.0939,207-08-9,252.0942,250.0786,253.0974,248.0629,,,,
CP2226,"Dibenz(a,h)anthracene",C22H14,278.1096,53-70-3,278.1089,276.0939,279.1126,274.0783,,,,
CP2228,Fluorene,C13H10,166.0783,86-73-7,166.0777,165.0699,167.0854,152.0621,139.0544,,,
CP2229,"Indeno(1,2,3-cd)pyrene",C22H12,276.0939,193-39-5,276.0938,277.0971,274.0784,272.0627,,,,
CP2230,Naphthalene,C10H8,128.0626,91-20-3,128.0621,129.065,126.0462,102.0632,,,,
CP2230_2,Naphthalene,C10H8,128.0626,91-20-3,128.0621,129.065,126.0462,102.0632,,,,
CP2231,Phenanthrene,C14H10,178.0783,85-01-8,178.0778,177.0699,176.0621,88.0308,,,,
CP2232,Pyrene,C16H10,202.0782,129-00-0,202.0776,200.0624,203.0812,201.07,101.0387,,,
CP2233,Carbazole,C12H9N,167.0735,86-74-8,167.0733,166.0651,169.0885,168.076,,,,
CP2233_2,Carbazole,C12H9N,167.0735,86-74-8,167.0733,166.0651,165.0573,168.076,,,,
CP2234,4-Chloro-3-methylphenol,C6H3OHCH3Cl,142.0185,59-50-7,142.0179,107.0491,144.015,108.0524,77.0229,121.0284,,
CP2235,2-Chlorophenol,C6H4ClOH,128.0029,95-57-8,128.0024,129.9994,126.9946,100.0074,,,,
CP2236,"2,4-Dichlorophenol",C6H4Cl2O,161.9639,120-83-2,161.9633,163.9603,97.9919,165.9575,,,,
CP2238,"2,4-Dinitrophenol",C6H3(OH)(NO2)2,184.0120,51-28-5,186.0273,154.0337,185.0322,91.0291,184.0114,,,
CP2239,"2-Methyl-4,6-dinitrophenol",C7H6N2O5,198.0277,534-52-1,198.0271,121.0285,199.0157,200.0194,93.0368,168.0685,,
CP2240,2-Nitrophenol,C6H5NO3,139.0269,88-75-5,139.0265,109.0284,82.0369,81.0336,105.0335,,,
CP2241,4-Nitrophenol,C6H5NO3,139.0269,100-02-7,139.0265,109.0284,82.0369,81.0336,105.0335,,,
CP2243,Phenol,C6H5OH,94.0419,108-95-2,94.0414,95.0492,92.0577,152.0623,91.0543,,,
CP2243_2,Phenol,C6H5OH,94.0419,108-95-2,94.0414,95.0492,92.0577,152.0623,91.0543,,,
CP2250,potassium sorbate,C6H7O2K,113.0609,24634-61-5,113.0599,105.0699,133.1012,109.1012,,,,
CP2251,4-hydroxybenzoic acid,C7H6O3,138.0317,99-96-7,138.0313,121.0285,137.0472,136.0394,139.039,93.0292,,
CP2253,protocatechuic acid,C7H6O4,154.0266,99-50-3,153.0484,154.0262,109.0107,110.0185,,,,
CP2254,ethyl paraben,C9H10O3,166.0630,120-47-8,166.0625,121.0285,139.0543,138.0464,,,,
CP2255,isopropyl paraben,C10H12O3,180.0786,4191-73-5,121.0285,138.0309,93.0336,179.0522,180.0769,,,
CP2256,butyl paraben,C11H14O3,194.0943,94-26-8,121.0648,120.0808,93.0573,194.0934,195.0762,,,
CP2257,benzyl paraben,C14H12O3,228.0786,94-18-8,121.0604,77.0386,107.0401,122.0638,228.0806,,,
CP2258,heptyl paraben,C14H20O3,236.1412,1085-12-7,236.1406,237.1436,235.1346,234.1264,,,,
CP2259,propyl paraben,C10H12O3,180.0790,94-13-3,180.0773,121.0285,138.0309,93.0336,178.0581,,,
CP2260,isobutyl paraben,C11H14O3,194.0940,4247-02-3,194.0938,138.0312,140.0577,137.0388,139.0346,,,
CP2261,"Phenol, 2-octyl-",C14H22O,206.1671,949-13-3,206.1667,107.0491,108.0524,205.1587,191.143,,,
CP2262,Nonylphenol,C15H24O,220.1827,104-40-5,220.1821,135.0805,107.0492,163.1117,,,,
CP2263,Nonylphenol monoethoxylate,C17H28O2,264.2089,27986-36-3,263.1264,180.0767,179.0687,182.0838,264.2078,,,
CP2264,"2-Bromo-4-(2,4,4-trimethylpentan-2-yl)phenol",C14H21BrO,284.0780,57835-35-5,282.0735,283.0768,254.0423,284.0793,,,,
CP2265,Nonylphenol diethoxylate,C19H32O3,308.2351,9016-45-9,237.2214,107.2822,308.2363,238.2292,,,,
CP2266,Chloramben,C7H5Cl2NO2,204.9697,133-90-4,204.9692,206.9662,160.9793,162.9764,,,,
CP2267,"2,4-Dichlorophenoxyacetic acid",C8H6Cl2O3,219.9694,94-75-7,174.9526,221.9659,110.9811,144.9607,162.1152,219.9688,,
CP2268,Dicamba,C8H6Cl2O3,219.9694,1918-00-9,172.9665,174.9636,175.9559,173.9696,221.9659,219.9688,,
CP2269,Dichlorprop Acid,C9H8Cl2O3,233.9850,120-36-5,161.9633,163.9605,235.9815,165.9575,233.9848,,,
CP2270,Picloram,C6H3Cl3N2O2,239.9260,2/1/18,239.9241,145.9256,160.9222,111.9202,,,,
CP2271,Bentazon,C10H12N2O3S,240.0569,25057-89-0,198.0094,119.0367,161.071,199.0128,240.0569,,,
