ID,Chemical Name,Fomula,Monoisotopic_mass,cas,emz1,emz2,emz3,emz4,emz5,emz6,emz7,emz8
CP3029,Benzo(b)fluoranthene,C20H12,252.0939,205-99-2,252.0937,250.0781,253.0969,126.0463,,,,
CP3030,"Benzo(g,h,i)perylene",C22H12,276.0939,191-24-2,124.0884,137.0962,136.0884,276.0966,138.0464,,,
CP3032,Benzyl butyl phthalate,C19H20O4,312.1362,85-68-7,313.2887,104.0496,206.0604,132.1329,315.3,,,
CP3033,bis(2-Chloroethoxy)methane,C5H10Cl2O2,172.0058,111-91-1,92.9902,95.0103,62.9996,65.0197,170.9995,,,
CP3034,bis(2-Chloroethyl)ether,(ClCH2CH2)2O,141.9952,111-44-4,92.9903,94.9873,62.9997,143.991,,,,
CP3035,bis(2-Chloro-1-methylethyl)ether,(ClCH2C(CH3)H)2O,170.0265,108-60-1,170.0278,121.0259,120.0124,122.0214,123.004,77.0197,155.0101,
CP3036,bis(2-Ethylhexyl)phthalate,C6H4(COOC8H17)2,390.277,117-81-7,149.0962,167.0985,112.1202,57.0699,71.0856,,,
CP3037,4-Bromophenyl phenyl ether,C12H9BrO,247.9837,101-55-3,247.9828,248.8405,140.906,250.8379,,,,
CP3038,Carbazole,C12H9N,167.0735,86-74-8,167.0728,166.0651,139.0542,168.0761,164.0494,140.0495,,
CP3039,4-Chloroaniline,ClC6H4NH2,127.0189,106-47-8,127.0183,129.0155,126.0107,128.0218,100.0075,92.0496,,
CP3040,2-Chloronaphthalene,C10H7Cl,162.0236,91-58-7,162.0229,164.02,163.0261,165.0235,161.0154,127.0499,,
CP3041,4-Chloro-3-methylphenol,C6H3OHCH3Cl,142.0185,59-50-7,142.0179,107.049,77.0541,78.0419,79.0541,145.0183,,
CP3042,2-Chlorophenol,C6H4ClOH,128.0029,95-57-8,128.0022,98.9997,129.9998,92.0093,,,,
CP3042_2,2-Chlorophenol,C6H4ClOH,128.0029,95-57-8,128.0022,100.0074,98.9993,101.0105,129.0059,129.9995,,
CP3043,4-Chlorophenyl phenyl ether,C12H9ClO,204.0342,7005-72-3,204.0323,206.0292,165.0693,176.0374,,,,
CP3044,Chrysene,C18H12,228.0939,218-01-9,228.0935,226.0779,229.0968,113.0385,101.0439,202.0779,,
CP3045,"Dibenz(a,h)anthracene",C22H14,278.1096,53-70-3,139.0754,137.0961,138.1042,125.0962,,,,
CP3046,Dibenzofuran,C12H8O,168.0575,132-64-9,168.0567,139.054,169.0649,80.062,79.0543,,,
CP3048,"2,4-Dichlorophenol",C6H4Cl2O,161.9639,120-83-2,161.9634,163.9603,97.9916,125.9868,,,,
CP3049,Diethyl phthalate,C6H4(COOC2H5)2,222.0892,84-66-2,222.0904,149.1284,177.1594,150.1359,176.1514,,,
CP3050,"2,4-Dimethylphenol",(CH3)2C6H3OH,122.0732,105-67-9,122.0727,107.0492,121.0649,108.0936,123.0805,,,
CP3051,"4,6-Dinitro-2-methylphenol",CH3C6H2OH(NO2)2,198.0277,534-52-1,197.0263,196.0364,1950379,198.0299,199.023,,,
CP3052,"2,4-Dinitrophenol",C6H3(OH)(NO2)2,184.012,51-28-5,63.023,53.0024,107.0493,154.0736,79.0501,,,
CP3053,Dimethyl phthalate,C6H4(COOCH3)2 ,194.0579,131-11-3,163.0163,77.0197,92.0619,133.0134,194.0572,195.0604,,
